buyer_nif,buyer_name,entity_type,distrito,n_flagged,n_observation,total_value,max_z_score
600083632,"Agrupamento de Escolas de Águas Santas, Maia",Outro,Porto,0,1,139860.0,4.036247901918048
600080676,Agrupamento Vertical de Escolas de Marco de Canaveses,Outro,Porto,0,1,96700.0,4.036247901918048
501132872,Município de Alter do Chão,Município,Portalegre,0,1,93920.0,4.036247901918048
512063770,Município de Vila do Porto,Município,Região Autónoma dos Açores,2,0,304858.2,4.036247901918048
502256869,"APSS - Administração dos Portos de Setúbal e Sesimbra, S. A.",Outro,Setúbal,0,1,118967.0,4.036247901918048
512070946,Município da Madalena,Município,Região Autónoma dos Açores,0,1,119940.0,4.036247901918048
512065837,Município do Corvo,Município,Região Autónoma dos Açores,0,2,221600.0,4.036247901918048
502423943,"Instituto Português do Sangue e da Transplantação, I. P.",Instituto,Lisboa,0,1,99900.0,4.036247901918048
501413197,Universidade do Porto,Outro,Porto,0,2,235264.08000000002,4.036247901918048
501394192,Lipor - Serviço Intermunicipalizado de Gestão de Resíduos do Grande Porto,Outro,Porto,0,1,96000.0,4.036247901918048
600014576,Secretaria-Geral do Ministério dos Negócios Estrangeiros,Ministério,Lisboa,0,1,99310.0,4.036247901918048
501306099,Município do Porto,Município,Porto,0,9,1704032.8800000001,4.036247901918048
512074143,Município das Lajes do Pico,Município,Região Autónoma dos Açores,0,2,230799.93,4.036247901918048
510832946,Freguesia de Belém,Freguesia,Lisboa,0,1,108000.0,4.036247901918048
506659968,Município do Crato,Município,Portalegre,1,1,241512.82,4.036247901918048
506693651,Município de Cinfães,Município,Viseu,0,1,137888.0,4.036247901918048
500746427,"Instituto de Ação Social das Forças Armadas, I. P.",Instituto,Lisboa,1,0,145600.0,4.036247901918048
506334562,Município de Pombal,Município,Leiria,0,2,202299.52,4.036247901918048
506361438,Instit. Port. Oncologia Coimbra Francisco Gentil,Outro,Coimbra,0,1,138600.0,4.036247901918048
505187531,Município de Cascais,Município,Lisboa,0,3,333605.1,4.036247901918048
508080142,"Centro Hospitalar Universitário Lisboa Central, E. P. E.",Hospital,Lisboa,0,3,519738.8,4.036247901918048
507784529,Associação de Municípios do Baixo Sabor,Município,Braganca,0,1,98600.0,4.036247901918048
506215547,Município de Bragança,Município,Braganca,0,1,129300.0,4.036247901918048
508481287,"Centro Hospitalar Universitário de Lisboa Norte, E. P. E.",Hospital,Lisboa,0,1,117822.0,4.036247901918048
508195446,"Instituto da Mobilidade e dos Transportes, I. P.",Instituto,Lisboa,0,2,220631.37,4.036247901918048
508188423,"Administração Central do Sistema de Saúde, I. P.",Outro,Lisboa,0,1,119700.0,4.036247901918048
504699326,"EPT - Ensino Profissional de Tomar, L.da",Outro,Santarém,0,1,116120.0,4.036247901918048
504841700,"Varzim Lazer - Empresa Municipal de Gestão de Equipamentos Desportivos e de Lazer, E. E. M.",Outro,Porto,1,0,459977.0,4.036247901918048
506865517,Município de Gavião,Município,Portalegre,0,1,97402.76999999999,4.036247901918048
506841561,Munícipio de Fafe,Outro,Braga,0,1,99705.0,4.036247901918048
506783146,Município de Albergaria-a-Velha,Município,Aveiro,0,2,236560.0,4.036247901918048
506730573,Câmara Municipal de Vila do Bispo,Município,Faro,0,1,99770.0,4.036247901918048
