pair_key,buyer_nif,buyer_name,supplier_nif,supplier_name,entity_type,distrito,n_contracts,n_near,near_rate,z_score,total_value,min_gap_days,years_active,tier
500746427|503399477,500746427,"Instituto de Ação Social das Forças Armadas, I. P.",503399477,"Infortema, Consultoria e Sistemas de Informação, Lda",Instituto,Lisboa,8,8,1.0,4.036247901918048,145600.0,179.0,7,Flagged
504841700|UNKNOWN,504841700,"Varzim Lazer - Empresa Municipal de Gestão de Equipamentos Desportivos e de Lazer, E. E. M.",,Filipa Calafate,Outro,Porto,23,23,1.0,4.036247901918048,459977.0,0.0,2,Flagged
512063770|508858828,512063770,Município de Vila do Porto,508858828,"Byte74 - Informática, Unipessoal, Lda",Município,Região Autónoma dos Açores,8,8,1.0,4.036247901918048,159858.0,356.0,8,Flagged
509821197|508014832,509821197,"Centro Hospitalar Universitário de São João, E. P. E.",508014832,"EDWARDS LIFESCIENCES , LDA",Hospital,Porto,99,95,0.9595959595959596,3.8631568815734894,1892350.0,0.0,6,Flagged
507618319|515638730,507618319,"Centro Hospitalar de Lisboa Ocidental, E. P. E.",515638730,"Timóteo &amp; Vinagreiro, Lda.",Hospital,,11,10,0.9090909090909091,3.6467931061427907,211420.0,,2,Flagged
508318262|511101066,508318262,"Centro Hospitalar do Tâmega e Sousa, E. P. E.",511101066,MOLNLYCKE HEALTH CARE,Hospital,Porto,10,9,0.9,3.6078476265652655,297900.0,,2,Flagged
501322515|UNKNOWN,501322515,Sporting Clube de Aveiro,,Afonso de Sousa Camões Sobral,Outro,Aveiro,9,8,0.8888888888888888,3.560247595970511,198840.0,0.0,2,Flagged
507618319|509245013,507618319,"Centro Hospitalar de Lisboa Ocidental, E. P. E.",509245013,"Culto da Imagem - Produções e Soluções, Lda.",Hospital,Lisboa,18,16,0.8888888888888888,3.560247595970511,615360.0,,1,Flagged
512074836|509238564,512074836,Município de Lajes das Flores,509238564,"MASF - Morais Sarmento, Almeida Farinha &amp; Associados, Sociedade de Advogados SP, RL",Município,Região Autónoma dos Açores,9,8,0.8888888888888888,3.560247595970511,171920.62,109.0,8,Flagged
501102752|509504345,501102752,Município de Amarante,509504345,"ACEAAP - Agência de Competências e Estudos Avançados para a Administração Pública, Lda.",Município,Porto,8,7,0.875,3.5007475577270695,133950.0,29.0,7,Flagged
501356126|507781503,501356126,"Instituto Nacional de Emergência Médica, I. P.",507781503,"Velosa da Silva &amp; Associados, Sociedade de Advogados, R.L.",Instituto,Lisboa,8,7,0.875,3.5007475577270695,178062.0,229.0,8,Flagged
504763202|510076211,504763202,"Águas de Gaia, EM, SA",510076211,"AUTO UNIVERSO LIVRE, LDA.",Outro,Porto,8,7,0.875,3.5007475577270695,214750.0,92.0,7,Flagged
505804786|513880976,505804786,Município de Vila do Conde,513880976,"FERNANDO VET,LDA",Município,Porto,8,7,0.875,3.5007475577270695,155993.0,112.0,7,Flagged
506624200|503632104,506624200,Município de Miranda do Corvo,503632104,Dueceira - Associação de Desenvolvimento do Ceira e Dueça,Município,Coimbra,8,7,0.875,3.5007475577270695,135100.0,210.0,8,Flagged
506659968|503822051,506659968,Município do Crato,503822051,"Júlio Ventura Calado, Lda",Município,Portalegre,8,7,0.875,3.5007475577270695,142577.82,93.0,7,Flagged
507618319|501799729,507618319,"Centro Hospitalar de Lisboa Ocidental, EPE (CHLO)",501799729,"Pergut Portugal - Comércio de Produtos Hospitalares e Médicos, Lda.",Hospital,Lisboa,40,35,0.875,3.5007475577270695,737836.45,,3,Flagged
508318262|514863471,508318262,"Centro Hospitalar do Tâmega e Sousa, E. P. E.",514863471,"PTTEX - Industria Textil, Lda",Hospital,Porto,16,14,0.875,3.5007475577270695,590540.0,,1,Flagged
507618319|502260750,507618319,"Centro Hospitalar de Lisboa Ocidental, E. P. E.",502260750,"OASIPOR - IMPORT. E EXPORT., SA",Hospital,Lisboa,81,70,0.8641975308641975,3.454469750204392,1794472.45,8.0,5,Flagged
