distrito,n_risk,n_total,risk_share
Região Autónoma da Madeira,517,26786,0.019301127454640483
Portalegre,594,35054,0.01694528441832601
Região Autónoma dos Açores,610,23385,0.026085097284584136
Braganca,759,12719,0.059674502712477394
Guarda,806,12847,0.06273838250175139
Beja,846,18685,0.04527696012844528
Évora,873,19200,0.04546875
Vila Real,894,21216,0.04213800904977376
Viana do Castelo,925,21433,0.0431577473988709
Castelo Branco,931,16052,0.057999003239471714
Leiria,1344,35315,0.03805748265609515
Viseu,1670,38846,0.042990269268393146
Santarém,1700,32321,0.05259738250672937
Aveiro,1807,42465,0.042552690450959614
Coimbra,1887,52415,0.03600114471048364
Braga,1936,49935,0.038770401521978574
Faro,2635,54418,0.048421478187364475
Setúbal,2722,72590,0.03749827799972448
Porto,5749,186000,0.030908602150537635
Lisboa,11420,251086,0.045482424348629556
