pair_key,buyer_nif,buyer_name,supplier_nif,supplier_name,entity_type,distrito,n_contracts,n_near,near_rate,z_score,total_value,min_gap_days,years_active,tier
500843139|510768547,500843139,Município de Caminha,510768547,"Carlos Sá Ribeiro, Lda.",Município,Viana do Castelo,7,7,1.0,4.036247901918048,135860.0,301.0,7,In observation
501132872|500077568,501132872,Município de Alter do Chão,500077568,"CTT - Correios de Portugal, S.A.",Município,Portalegre,5,5,1.0,4.036247901918048,93920.0,347.0,5,In observation
501306099|506346862,501306099,Município do Porto,506346862,ATELIER LÓGICO - SISTEMAS INFORMÁTICOS LDA,Município,Porto,5,5,1.0,4.036247901918048,99312.0,359.0,5,In observation
501394192|507796870,501394192,Lipor - Serviço Intermunicipalizado de Gestão de Resíduos do Grande Porto,507796870,M T CARDOSO &amp; CARDOSO LDA,Outro,Porto,5,5,1.0,4.036247901918048,96000.0,0.0,3,In observation
501413197|501776311,501413197,Universidade do Porto,501776311,"Deloitte &amp; Associados, SROC, S.A.",Outro,Porto,5,5,1.0,4.036247901918048,98902.2,10.0,3,In observation
502256869|503882887,502256869,"APSS - Administração dos Portos de Setúbal e Sesimbra, S. A.",503882887,ROFF - Consultores Independentes S.A.,Outro,Setúbal,6,6,1.0,4.036247901918048,118967.0,259.0,5,In observation
502423943|508508223,502423943,"Instituto Português do Sangue e da Transplantação, I. P.",508508223,"2ES - Engenharia Electromecânica, Segurança e Saúde, Lda",Instituto,Lisboa,5,5,1.0,4.036247901918048,99900.0,211.0,5,In observation
504699326|501885846,504699326,"EPT - Ensino Profissional de Tomar, L.da",501885846,Ti António,Outro,Santarém,6,6,1.0,4.036247901918048,116120.0,0.0,5,In observation
505187531|510451276,505187531,Município de Cascais,510451276,Guia de escolhas academia de psicologia Ldª.,Município,Lisboa,7,7,1.0,4.036247901918048,129600.0,320.0,7,In observation
506215547|507863577,506215547,Município de Bragança,507863577,"EDITORIAL NOVEMBRO - EDICOES CAO MENOR, LDA",Município,Braganca,7,7,1.0,4.036247901918048,129300.0,152.0,6,In observation
506334562|504172972,506334562,Município de Pombal,504172972,"NICYPAPER – Material de Escritório, Lda.",Município,Leiria,5,5,1.0,4.036247901918048,99649.51999999999,251.0,5,In observation
506361438|502737808,506361438,Instit. Port. Oncologia Coimbra Francisco Gentil,502737808,"Castanheira, Almeida, Pereira, Mateus Ferreira &amp; Associados, Sociedade de Advogados, RL",Outro,Coimbra,7,7,1.0,4.036247901918048,138600.0,354.0,6,In observation
506659968|504691031,506659968,Município do Crato,504691031,Ticket Line,Município,Portalegre,5,5,1.0,4.036247901918048,98935.0,336.0,5,In observation
506693651|502504315,506693651,Município de Cinfães,502504315,"Oficina de Video, Lda.",Município,Viseu,7,7,1.0,4.036247901918048,137888.0,322.0,7,In observation
506730573|506332489,506730573,Câmara Municipal de Vila do Bispo,506332489,"First Aid Imagem e Marketing, Lda",Município,Faro,5,5,1.0,4.036247901918048,99770.0,347.0,5,In observation
506783146|515463965,506783146,Município de Albergaria-a-Velha,515463965,"Greenadn, Lda",Município,Aveiro,5,5,1.0,4.036247901918048,97360.0,366.0,5,In observation
506841561|514513004,506841561,Munícipio de Fafe,514513004,"ESTANTÓTECA, ASSOCIAÇÃO",Outro,Braga,5,5,1.0,4.036247901918048,99705.0,192.0,5,In observation
506865517|507291956,506865517,Município de Gavião,507291956,"SMART VISION, ASSESSORES E AUDITORES ESTRATÉGICOS LDA",Município,Portalegre,5,5,1.0,4.036247901918048,97402.76999999999,536.0,5,In observation
507618319|501390324,507618319,"Centro Hospitalar de Lisboa Ocidental, E. P. E.",501390324,"Extincêndios, Equipamentos de Proteção e Segurança , S.A.",Hospital,,5,5,1.0,4.036247901918048,96548.0,,2,In observation
507784529|501345361,507784529,Associação de Municípios do Baixo Sabor,501345361,Universidade de Trás-os-Montes e Alto Douro,Município,Braganca,5,5,1.0,4.036247901918048,98600.0,0.0,4,In observation
508080142|502590327,508080142,"Centro Hospitalar Universitário Lisboa Central, E. P. E.",502590327,"Cast - Consultoria e Aplicações em Sistema e Tecnologia, Lda",Hospital,Lisboa,5,5,1.0,4.036247901918048,93508.79999999999,355.0,5,In observation
508188423|506791262,508188423,"Administração Central do Sistema de Saúde, I. P.",506791262,"Palco e bancada - Venda e aluguer de equip p espetaculos, organização de eventos, Lda",Outro,Lisboa,6,6,1.0,4.036247901918048,119700.0,228.0,6,In observation
508195446|513909710,508195446,"Instituto da Mobilidade e dos Transportes, I. P.",513909710,Expandoptimism Lda,Instituto,Lisboa,5,5,1.0,4.036247901918048,98931.37,130.0,3,In observation
508481287|501782281,508481287,"Centro Hospitalar Universitário de Lisboa Norte, E. P. E.",501782281,STTEI-SOCIED.TECNICA TEL.EQUIP.INFORMATICOS LDA.,Hospital,Lisboa,6,6,1.0,4.036247901918048,117822.0,330.0,5,In observation
510832946|503843717,510832946,Freguesia de Belém,503843717,Rplm - Gestão de Investimentos S.A,Freguesia,Lisboa,6,6,1.0,4.036247901918048,108000.0,330.0,5,In observation
